City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
151,sur,22.5667,59.5289,30.14,55,4,2.87,OM,1714386928
152,usinsk,65.9939,57.5281,-3.85,73,100,5.81,RU,1714386928
153,vorgashor,67.5833,63.95,-7.96,92,100,5.58,RU,1714386928
154,dwarka,22.2394,68.9678,30.53,55,23,6.85,IN,1714386631
155,karymskoye,51.6167,114.35,10.42,28,86,2.4,RU,1714386928
156,nanfeng,23.7434,111.7959,27.63,88,59,1.81,CN,1714386929
157,lesnoy,57.6198,63.0784,6.23,51,98,4.1,RU,1714386929
158,kinablangan,7.6947,126.5503,26.48,89,100,0.98,PH,1714386929
159,sittwe,20.15,92.9,30.63,72,0,7.3,MM,1714386929
160,port-vila,-17.7338,168.3219,24.78,88,75,2.57,VU,1714386879
161,richards bay,-28.783,32.0377,26.42,44,55,6.27,ZA,1714386631
162,afaahiti,-17.75,-149.2833,24.93,77,78,10.47,PF,1714386930
163,utrik,11.2278,169.8474,27.53,76,100,7.53,MH,1714386930
164,abra pampa,-22.7205,-65.697,9.29,31,0,3.21,AR,1714386930
165,olonkinbyen,70.9221,-8.7187,1.29,87,98,3.32,SJ,1714386930
166,pandan,14.0453,124.1694,27.18,84,38,4.13,PH,1714386931
167,kualakapuas,-3.0091,114.3876,26.78,86,98,0.88,ID,1714386931
168,barcelos,41.5388,-8.6151,15.51,49,23,2.55,PT,1714386865
169,hadibu,12.65,54.0333,31.34,66,92,4.69,YE,1714386931
170,sarangani,5.4033,125.4636,28.47,82,98,7.89,PH,1714386931
171,mount pearl,47.5166,-52.7813,7.29,96,100,4.63,CA,1714386931
172,cheyyur,12.3495,80.003,32.44,61,58,6.06,IN,1714386932
173,mocimboa,-11.3167,40.35,28.55,64,55,5.46,MZ,1714386932
174,anadyr,64.75,177.4833,-2.72,93,100,2.0,RU,1714386932
175,ulsteinvik,62.3432,5.8487,13.32,55,85,5.36,NO,1714386932
176,rostov,57.1914,39.4139,17.25,41,5,2.85,RU,1714386933
177,petropavlovsk-kamchatsky,53.0452,158.6483,3.21,99,20,7.0,RU,1714386933
178,nyurba,63.2842,118.3319,-1.02,90,68,2.53,RU,1714386933
179,bubaque,11.2833,-15.8333,25.94,76,38,4.25,GW,1714386934
180,dobryanka,58.4619,56.4165,5.86,49,73,3.6,RU,1714386733
181,entre rios,-11.9419,-38.0844,25.8,80,100,1.8,BR,1714386934
182,morozovsk,48.3539,41.8261,25.26,42,94,5.68,RU,1714386934
183,mount gambier,-37.8333,140.7667,10.67,65,93,3.12,AU,1714386654
184,cotija de la paz,19.8167,-102.6833,14.24,51,38,0.97,MX,1714386935
185,uturoa,-16.7333,-151.4333,27.07,78,80,11.84,PF,1714386935
186,agadez,19.75,10.25,41.01,4,0,4.73,NE,1714386935
187,piskivka,50.6938,29.6193,19.31,38,0,4.28,UA,1714386935
188,remire-montjoly,4.9167,-52.2667,27.02,89,20,1.54,GF,1714386935
189,nagqu,31.5,92.0,7.77,17,89,5.06,CN,1714386936
190,namdrik,5.5994,168.1028,28.28,82,89,7.97,MH,1714386936
191,thames,-37.1333,175.5333,13.08,91,66,2.47,NZ,1714386936
192,aban,56.67,96.06,8.95,75,100,8.75,RU,1714386937
193,san patricio,28.017,-97.5169,25.47,93,94,3.31,US,1714386937
194,antsiranana,-12.2787,49.2917,29.42,79,75,9.26,MG,1714386937
195,sao paulo de olivenca,-3.3783,-68.8725,23.23,98,72,0.42,BR,1714386937
196,imbituba,-28.24,-48.6703,19.61,93,63,4.89,BR,1714386938
197,laojunmiao,39.8333,97.7333,8.86,24,81,6.6,CN,1714386938
198,pickering,43.9001,-79.1329,10.35,90,100,4.12,CA,1714386938
199,howrah,22.5892,88.3103,42.0,19,20,3.6,IN,1714386938
200,novodvinsk,64.4165,40.8122,6.86,90,99,1.26,RU,1714386938
201,fale old settlement,-9.3852,-171.2468,29.46,76,100,3.33,TK,1714386939
202,alakurtti,66.9672,30.3491,1.03,94,100,2.08,RU,1714386939
203,tateyama,34.9833,139.8667,19.82,85,100,5.96,JP,1714386734
204,vadso,70.0744,29.7487,3.49,70,75,2.57,NO,1714386939
205,kourou,5.1552,-52.6478,27.03,88,99,3.14,GF,1714386939
206,hamilton,39.1834,-84.5333,19.97,74,75,4.63,US,1714386939
207,tazovsky,67.4667,78.7,-10.07,88,100,11.66,RU,1714386940
208,cidreira,-30.1811,-50.2056,20.35,87,88,8.67,BR,1714386940
209,tolanaro,-25.0319,46.9987,24.04,83,75,4.12,MG,1714386940
210,lebu,-37.6167,-73.65,13.43,88,100,12.67,CL,1714386940
211,banda aceh,5.5577,95.3222,31.11,70,99,4.65,ID,1714386526
212,saldanha,-33.0117,17.9442,22.03,53,5,5.33,ZA,1714386940
213,eyl,7.9803,49.8164,33.24,48,38,3.33,SO,1714386940
214,kalemie,-5.9475,29.1947,25.97,64,19,4.22,CD,1714386941
215,enewetak,11.3474,162.3373,27.51,79,95,6.78,MH,1714386941
216,poletayevo,55.0336,61.1138,8.9,60,100,3.55,RU,1714386941
217,pechora,65.1472,57.2244,-2.1,74,100,3.61,RU,1714386942
218,mossel bay,-34.1831,22.146,18.96,77,1,2.88,ZA,1714386942
219,kapuskasing,49.4169,-82.4331,-3.95,74,100,6.17,CA,1714386942
220,taoudenni,22.6783,-3.9836,30.78,17,74,5.85,ML,1714386942
221,constitucion,-35.3333,-72.4167,10.71,82,79,6.79,CL,1714386942
222,lashkar gah,31.5938,64.3716,24.3,8,0,9.97,AF,1714386943
223,nyrob,60.733,56.7202,4.34,40,17,2.87,RU,1714386943
224,choibalsan,48.0667,114.5,11.15,22,69,3.09,MN,1714386943
225,belyy yar,53.6039,91.3903,14.94,36,0,11.0,RU,1714386943
226,riberalta,-10.9833,-66.1,25.11,94,99,2.06,BO,1714386943
227,tromso,69.6496,18.957,7.01,45,0,1.03,NO,1714386939
228,naze,28.3667,129.4833,22.51,86,5,7.21,JP,1714386945
229,codrington,-38.2667,141.9667,10.81,63,74,4.46,AU,1714386945
230,hammerfest,70.6634,23.6821,5.25,60,0,4.12,NO,1714386945
231,princeville,45.7668,-61.2985,6.06,69,20,3.09,CA,1714386945
232,qaqortoq,60.7167,-46.0333,2.03,73,95,1.67,GL,1714386807
233,kalabo,-14.97,22.6814,28.87,27,0,3.03,ZM,1714386945
234,sikasso,10.9167,-7.0,35.79,22,93,3.06,ML,1714386945
235,broome,42.2506,-75.833,16.78,90,100,0.86,US,1714386946
236,kavaratti,10.5669,72.642,29.81,69,100,0.74,IN,1714386946
237,al harithah,30.7186,47.7208,35.98,21,40,7.2,IQ,1714386946
238,fort bragg,35.139,-79.006,17.12,90,0,3.6,US,1714386948
239,port augusta,-32.5,137.7667,16.48,75,9,8.54,AU,1714386879
240,sola,-13.8833,167.55,28.14,81,89,8.02,VU,1714386948
241,prince albert,53.2001,-105.7677,7.97,49,20,2.57,CA,1714386948
242,portland,45.5234,-122.6762,8.78,89,100,3.13,US,1714386948
243,san fernando,15.0286,120.6898,34.85,49,15,1.75,PH,1714386948
244,undurkhaan,47.3194,110.6556,12.08,21,95,5.31,MN,1714386948
245,pico truncado,-46.7949,-67.9573,7.67,63,100,3.19,AR,1714386949
246,atafu village,-8.5421,-172.5159,29.55,75,98,4.78,TK,1714386949
247,labytnangi,66.6572,66.4183,-10.35,76,43,5.09,RU,1714386949
248,kristiansund,63.1115,7.732,15.03,62,75,9.77,NO,1714386949
249,chui,-33.6971,-53.4616,12.86,73,60,3.09,UY,1714386950
250,sol'-iletsk,51.1631,54.9918,23.49,26,99,6.54,RU,1714386950
251,stung treng,13.5259,105.9683,37.89,31,60,1.87,KH,1714386950
252,manokwari,-0.8667,134.0833,27.49,82,84,1.31,ID,1714386682
253,plover,44.4564,-89.544,7.47,97,100,3.09,US,1714386951
254,margate,51.3813,1.3862,14.93,76,3,3.58,GB,1714386951
255,antalaha,-14.9003,50.2788,25.1,91,100,3.82,MG,1714386951
256,el dorado,38.7666,-120.5177,8.92,82,5,0.89,US,1714386951
257,qutqashen,40.9814,47.8458,24.11,40,1,3.29,AZ,1714386951
258,gazli,40.1333,63.45,23.62,15,92,3.97,UZ,1714386952
259,yuzhno-kurilsk,44.0306,145.8556,6.32,62,85,1.48,RU,1714386952
260,thurso,58.5927,-3.5259,10.14,62,85,5.07,GB,1714386952
261,trairi,-3.2778,-39.2689,26.19,91,83,1.87,BR,1714386952
262,bandarbeyla,9.4942,50.8122,31.33,65,52,5.31,SO,1714386952
263,lazaro cardenas,17.9583,-102.2,23.2,85,72,1.22,MX,1714386953
264,gilgit,35.9221,74.3087,13.35,85,100,1.39,PK,1714386953
265,constantia,44.1833,28.65,16.5,71,100,6.79,RO,1714386953
266,weno,7.4515,151.8468,27.97,89,100,1.54,FM,1714386953
267,lewiston orchards,46.3804,-116.9754,8.95,53,40,3.6,US,1714386953
268,lhokseumawe,5.1801,97.1507,30.1,75,100,1.06,ID,1714386711
269,lycksele,64.5954,18.6735,1.93,93,100,5.14,SE,1714386954
270,talnakh,69.4865,88.3972,-12.11,90,100,7.67,RU,1714386954
271,basse santa su,13.31,-14.2137,37.58,26,3,3.58,GM,1714386954
272,tura,25.5198,90.2201,37.99,9,0,4.45,IN,1714386954
273,ponta delgada,37.7333,-25.6667,18.44,59,20,3.09,PT,1714386955
274,kaifeng,34.7911,114.3483,21.36,44,100,4.9,CN,1714386955
275,new washington,11.6508,122.4322,28.4,77,69,1.88,PH,1714386955
276,haiku-pauwela,20.9219,-156.3051,23.36,80,20,2.68,US,1714386955
277,nuku'alofa,-21.1333,-175.2,26.19,94,75,2.57,TO,1714386955
278,nogliki,51.8333,143.1667,4.08,48,91,6.26,RU,1714386956
279,egilsstadir,65.2653,-14.3948,2.95,93,75,6.17,IS,1714386956
280,corfu,39.62,19.9197,25.88,36,0,2.06,GR,1714386956
281,mount isa,-20.7333,139.5,22.87,64,99,1.54,AU,1714386956
282,faya-largeau,17.9257,19.1043,41.94,5,0,6.17,TD,1714386956
283,kutum,14.2,24.6667,34.74,6,0,5.92,SD,1714386957
284,nova borova,50.693,28.6345,18.42,45,20,4.15,UA,1714386957
285,minas de marcona,-15.2119,-75.1103,15.62,86,1,3.4,PE,1714386957
286,cannonvale,-20.2833,148.7,24.66,72,0,6.86,AU,1714386958
287,geraldton,-28.7667,114.6,27.23,47,100,4.63,AU,1714386673
288,baracoa,20.3467,-74.4958,23.88,87,100,5.61,CU,1714386959
289,vorkuta,67.5,64.0,-7.92,92,100,5.56,RU,1714386959
290,taro,-8.3862,115.28,24.0,92,78,1.44,ID,1714386960
291,taksimo,56.3444,114.8794,6.21,48,82,0.58,RU,1714386960
292,guerrero negro,27.9769,-114.0611,14.53,91,19,5.43,MX,1714386960
293,grootfontein,-19.5667,18.1167,25.76,29,0,2.57,NA,1714386960
294,brisas de zicatela,15.8369,-97.0419,25.46,84,9,2.42,MX,1714386961
295,isangel,-19.55,169.2667,24.58,79,85,5.95,VU,1714386961
296,amungan,15.3652,119.9582,29.7,77,20,2.52,PH,1714386961
297,arawa,-6.2132,155.5367,26.3,91,100,1.61,PG,1714386961
298,carbonia,39.1672,8.5222,23.53,43,0,7.47,IT,1714386961
299,bulayevo,54.9056,70.4439,9.28,41,100,6.04,KZ,1714386962
300,paita,-5.0892,-81.1144,22.07,78,91,3.53,PE,1714386962
301,pasuquin,18.3328,120.6177,30.97,74,20,2.57,PH,1714386962
302,puerto deseado,-47.7503,-65.8938,7.18,60,100,3.76,AR,1714386962
303,akrehamn,59.2667,5.1833,10.56,76,75,7.72,NO,1714386963
304,lihue,21.9789,-159.3672,23.77,77,40,5.14,US,1714386963
305,urangan,-25.3,152.9,20.11,89,28,2.68,AU,1714386821
